feature,feature_label,term,estimate,se,tval,pval,l
exports,Exports,rel_time_bin::14:is_winner,-0.2630068795750752,2.477010285876755,-0.10617916327383439,0.9158921069780532,14
exports,Exports,rel_time_bin::15:is_winner,1.103154230532118,1.9806915083380563,0.5569540869379221,0.5802014808879813,15
exports,Exports,rel_time_bin::16:is_winner,0.8153618014149667,1.6691988826969761,0.48847492642552065,0.6274849321701488,16
exports,Exports,host,1.8852365104878106,0.859055417425968,2.1945458607742,0.03317304747924381,NA
exports,Exports,ln_l4,-3.772288712617692,0.6936722822758622,-5.438142490343177,1.8858529841031167e-6,NA
imports,Imports,rel_time_bin::-16:is_winner,3.587178909317875,2.4187494858346064,1.4830716989610413,0.14473046142355686,-16
imports,Imports,rel_time_bin::-15:is_winner,3.1123455235848767,1.7245626485928518,1.8047158368670337,0.0775282816701371,-15
imports,Imports,rel_time_bin::-14:is_winner,4.521848101529278,2.263874199560787,1.9973937166678957,0.05158972712551153,-14
imports,Imports,rel_time_bin::-13:is_winner,1.7052555708455048,1.5447738850776633,1.103886845394058,0.2752619977337304,-13
imports,Imports,rel_time_bin::-12:is_winner,1.0599506221917083,1.5298899265996553,0.6928280288422857,0.49182688522341855,-12
imports,Imports,rel_time_bin::-11:is_winner,0.1417558364357041,0.8240659977762307,0.17202000424509312,0.8641603683607137,-11
imports,Imports,rel_time_bin::-10:is_winner,0.07398669930193619,1.3778595832480223,0.053696835440609755,0.9574043007619821,-10
imports,Imports,rel_time_bin::-9:is_winner,0.8687779232486903,2.118736378106023,0.4100453139079561,0.6836358334488739,-9
imports,Imports,rel_time_bin::-8:is_winner,0.6263865174660266,2.6536945960178597,0.23604318236393276,0.8144247854471998,-8
imports,Imports,rel_time_bin::-7:is_winner,2.2532035647672233,3.731744583591642,0.6037936183184898,0.5488841739523989,-7
imports,Imports,rel_time_bin::-6:is_winner,1.2704455862211803,3.2787996222445477,0.3874727743659673,0.7001554260582421,-6
imports,Imports,rel_time_bin::-5:is_winner,0.2981192210221352,3.7193175489492063,0.0801542802136808,0.9364548844129388,-5
imports,Imports,rel_time_bin::-4:is_winner,0.3947406813022696,3.454214434367082,0.11427798962764689,0.9095042255074459,-4
imports,Imports,rel_time_bin::-3:is_winner,-0.757056251098955,2.2263971102147186,-0.3400364865843465,0.7353440872056869,-3
imports,Imports,rel_time_bin::-2:is_winner,-0.5361786136283472,1.368959007304163,-0.39166885989100764,0.6970731479726225,-2
imports,Imports,rel_time_bin::-1:is_winner,0.33146507014276294,1.2304593694374368,0.269383190031141,0.7888139702300443,-1
imports,Imports,rel_time_bin::1:is_winner,1.5162654558023223,1.2213497420298685,1.2414670455346455,0.22059349188425256,1
imports,Imports,rel_time_bin::2:is_winner,1.3066309055542025,1.233011654703847,1.0597068572462423,0.29469369980379706,2
imports,Imports,rel_time_bin::3:is_winner,3.1786452239500935,2.009286200750154,1.58197733242948,0.12036164502266507,3
imports,Imports,rel_time_bin::4:is_winner,4.178181529294589,2.13709813409304,1.955072377182979,0.056535935828205326,4
imports,Imports,rel_time_bin::5:is_winner,2.6214611344067715,1.8889774286100334,1.387767315110653,0.1717523772318794,5
imports,Imports,rel_time_bin::6:is_winner,4.088715007946593,3.0672607861987733,1.333018381203151,0.18895163673016627,6
imports,Imports,rel_time_bin::7:is_winner,2.101317268096583,2.4766396251453,0.8484549979584949,0.40048525031336435,7
imports,Imports,rel_time_bin::8:is_winner,1.4401406060974684,2.1040633869572645,0.684456853830858,0.4970481362001181,8
imports,Imports,rel_time_bin::9:is_winner,2.182365830944021,2.229160949106389,0.97900774361711,0.3325887693742339,9
imports,Imports,rel_time_bin::10:is_winner,1.10543279210396,1.821940044294474,0.6067339019007217,0.5469473458903025,10
imports,Imports,rel_time_bin::11:is_winner,0.8021449695948688,2.9431021528847583,0.27255084190965834,0.7863923987930714,11
imports,Imports,rel_time_bin::12:is_winner,0.34926526251350537,2.647525373444991,0.13192140329104282,0.8956095919195811,12
imports,Imports,rel_time_bin::13:is_winner,-0.03650029052879822,2.597685099369308,-0.014051083611966718,0.9888487030154733,13
imports,Imports,rel_time_bin::14:is_winner,0.38200692043705986,2.514243771264981,0.1519371052254262,0.8798868807823714,14
imports,Imports,rel_time_bin::15:is_winner,1.765569417982589,2.441567869432172,0.7231293629339912,0.4731839111218469,15
imports,Imports,rel_time_bin::16:is_winner,2.16843922942137,2.881137509488708,0.7526330216033963,0.455423710363859,16
imports,Imports,host,-0.3603578630210159,1.800188226352815,-0.20017788014928953,0.8422051204409767,NA
imports,Imports,ln_l4,-6.146385700201643,0.9507479683335247,-6.4647897286333995,5.3099063121357886e-8,NA
