country_code,country_name,year,population_million,population,unit_measure,source
HUN,Hungary,2003,10129554,10129554000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,2004,10107140,10107140000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,2005,10087064,10087064000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,2006,10071374,10071374000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,2007,10055778,10055778000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,2008,10038186,10038186000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,2009,10022647,10022647000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,2010,10000020,10000020000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,2011,9958824,9958824000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1960,175573,175573000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1961,179028,179028000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1962,182376,182376000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1963,185648,185648000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1964,188983,188983000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1965,192285,192285000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1966,195568,195568000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1967,198757,198757000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1968,201487,201487000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1969,203370,203370000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1970,204438,204438000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1971,206099,206099000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1972,209137,209137000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
